actor,country,description,genre,language,link_image,original_title,public,score,time,title,trailer_page_url,trailer_video,year
"Robert Duvall,Robert De Niro,Al Pacino",United States,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama","English,Italian,Spanish,Latin,Sicilian","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg",Mario Puzo's the Godfather Part II,R,9.0,202,The Godfather Part II,https://www.imdb.com/video/vi696162841/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi696162841/1434659607842-pgv4ql-1564159556047.mp4?Expires=1682016057&Signature=VGvjhjTuW5lmWNGzFGuREeB~DZmRikj7BXVZsdfcvI0vnheTKHNxQtENRH47lUvDw~8iCmbiLIdxkwKToQRbIg1QzL40pwtxGMSBFT1vy1iSsHz72XGnDtqnUjCM44hhKy3LMQPlKa0CUg6S-ZsGJ~jK-JRsu75tajfTiEEJvVTl62ynzqinJWwU6vlgYin7VKXwQww6KPaTaRCXGtZcb9dqnpVE2Y5vhg6DebZJe4aYeVdWrlH8f-jTjJaHIAQA7HYQcWQJ2m2NsWoM6ihnOaKtqHJVhIwYLQ0ojGs-GC7eiVE4mkrDpABzhfZ7nzwanzWFH1WYAmJYtg1mFs2www__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1974
"Heath Ledger,Christian Bale,Aaron Eckhart","United States,United Kingdom","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama","English,Mandarin","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Batman Begins 2,PG-13,9.0,152,The Dark Knight,https://www.imdb.com/video/vi324468761/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi324468761/1434659607842-pgv4ql-1563712918369.mp4?Expires=1682016058&Signature=pGPQm-1KU9R7W9a0xR0lUtmKRz5ootUtOy3jCawkSAMeaVTPvWOpL25xPKB3IigEc0P5T3gFWenJxEo~uIjwAR1wjEbevV55QQCqAZOZQgvWkT5o82cMlgZ4n5iTxyk65lcFsQm81R~l0ejWLbS6QQBv3xUZWkZ7wTbLzX2QsKQf~WmB1kPTXZ0Wj6UPrNVPM1LEcHwCLZxAnbOPI-TeBbpeacD5R8msKBcLzqthhYh8y2kxKOwcNCsZOO8sENluSA3ni8XlEfW1I1RJCvPeIHnNx1G6NTtgYSQsmcINhExBx365Q59M~Ls4-mXdDlEWpj-0EICF7AltB0ozkDpw2Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,2008
"Paulette Goddard,Henry Bergman,Charles Chaplin",United States,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance",English,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg",The Masses,G,8.5,87,Modern Times,https://www.imdb.com/video/vi1756676633/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi1756676633/1434659607842-pgv4ql-1648742951109.mp4?Expires=1682016296&Signature=gZjLeAJWoij-dD7fqpCEQWc0YzBOw6gRUBbUDAxs8rdchQpOwFWQi0npN-tezOXYNxtkTTl8Ma4Gw5eOX6QW2uXVbyoU2CobGbzYinKYVDP0myskwTtt7SPG2bSy6R1DW283O0V9r7VA7yKPSO7ZXfWBLtia2LU85-VFgX0eRxwzrGOw1y04JsUln2WB3UyV7hyeEllhMqttEK9tGCnSrdJkUjjdOlWNyxHDItqel00pIggD-xGVZo09i7BibzeleNX3s2utJOI3IkeJn50jfvmqM59zgHeBC~nHlfPZl4zQ5hF66b6VN9efHy7ioxZnl8KNL0mxDl-63-qf4AtWqQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1936
"Claudia Cardinale,Henry Fonda,Charles Bronson","Italy,United States",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,"Italian,English,Spanish","https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",There Was Once the West,PG-13,8.5,165,Once Upon a Time in the West,https://www.imdb.com/video/vi239075865/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi239075865/1434659607842-pgv4ql-1564621591982.mp4?Expires=1682016297&Signature=aK9a15fRgMmqFJOtzRKiQp8rkx16XB9Q0lKm5Tp-ln-lVazTwEfU2F9Cr6dxR2RNl54~YkxFJjvK0rpioLPMGhbl3TkrsSIHiO-PrqTcR2Q3VwVMNwTNsCKiXzDSz5MuJr8L64bNIaBYaLk3nhr1dCC79EMqxOlWoV4ajwEPrq996NF7mJpuIHRgwsg-VoP~9hyhuJZQOb~4rbL8w70g7PW1Kyp81Z6lu194MguO8fH6OPAwNjZmCOwy5ntb7iKDjJbO9I8PW2DdT0d0ouPQKveLeHFGUT1int63-vEG7NKypsZ13PPPUk2b4SefqhiZDoZdHuF87atyNqBXS4qikA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1968
"Jake Johnson,Shameik Moore,Hailee Steinfeld","Canada,United States","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation,Action,Adventure","English,Spanish","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Người Nhện: Vũ Trụ Mới,PG,8.4,117,Spider-Man: Into the Spider-Verse,https://www.imdb.com/video/vi1489877529/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi1489877529/1434659607842-pgv4ql-1544728633786.mp4?Expires=1682015531&Signature=uT0tpq45gIhLDhvDE2760LY7WBybUjtOPXAwbpc35jE~qv06n-Sv7HKQh0HHPmKuQz8jZZmf0tngkgH~DPyPcKsuofIU8cQvivDYDpZn7fr0lNgjYlMMkBZHNjj~0rka~Hf-gY4AK9NmClRVUN-qyPcr7TMWFTskOSK5o~lMDyuqpXPxlrLsxGRuP~DbdJrlqAxeR6tW1Do63lKel1RfByrHrEhmcGymhS6VczuHMOTs0TnKbWIXYPmRstznEUL~9j6j7MQ9PttKO2jvQPr40rmdYgrRdhmR3xDL54rxZV2MS96eY7lmSJ56yKk3WGQWdHh5GRPW88IXmwYWPq7aMA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,2018
"Harrison Ford,Mark Hamill,Carrie Fisher",United States,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy","English,Kikuyu,Tagalog,Kalmyk-Oirat,Quechua,Polish","https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,7,190,281_.jpg",Star Wars: Return of the Jedi,PG,8.3,131,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/video/vi1702936345/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi1702936345/1434659607842-pgv4ql-1569604579809.mp4?Expires=1682016249&Signature=jJwZHFX22edAiWKzvCPbFaVn0sBKtC1pKYH5PJmPtUdNUGILPOYqWUNK9FClTSo2XzlbmT361uIMyLkdU0lhIF7pk8Zd2Ua24Q1Vini693-3xkTsq8R3ZTksCrtjFCq1ijWzr9l-2T9PgMYu4FPYGrFLc0PDdTVwyAIsmPKf~ZvE-yYIrOOqok~R~HUnzNbR5DRZPCUg7nOCRgGLtZLx4f-FMDhin0E7JuKnYvskOYpJdN~ZJJmPHwGs-99Pu-nPEW3HmoGk7HZ~jMsSI9bXg0O7qspNhZC4Zvth3~Lz0RZ6NJzklyNsS4fpeRMta5PODfeTW7ujeg1YWt0tD1gVaQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1983
"Tom Hardy,Nicholas Hoult,Charlize Theron",Australia,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...","Action,Adventure,Sci-Fi","English,Russian","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Max Điên: Con Đường Tử Thần,R,8.1,120,Mad Max: Fury Road,https://www.imdb.com/video/vi3047862297/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi3047862297/1401497881123-xszl4z-1430608297815.mp4?Expires=1682016128&Signature=NdZPcuTFm8C3voW0Jhx4xcc1tMWy~kHojm6z3DQOlZ-4z~IJH0LOBTNm-2JN6EDDUv8c8qW6jiI9iDWJGDsUFQOGrYgTuC8zPIkr89JMgA79BlyDJAcwuf9d~qyL0louiytKTRQtZ5NJ~akQoFqW7MnRVJytcRlo~EROzAXGFAtXvR6PUP4O9dj05H461J6xycAsjpBF8Zsannkfu50Aj81Pkkr3h-DbIduO4by8~IIPA2DWlqBHkYAxL24eOq241Irwyrh8VHC53RNcpGOi~60QdtVgHi8btfCe93jEevEwfXBYr3a2B5F2Hlc5rT-31SwHEo5hlodVVZQJ50MKlg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,2015
"Strother Martin,George Kennedy,Paul Newman",United States,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama",English,"https://m.media-amazon.com/images/M/MV5BNjcwNTQ3Y2EtMjdmZi00ODBhLWFhNzQtOTc3MWU5NTZlMDViXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg",Hladnokrvni kaznjenec,GP,8.1,127,Cool Hand Luke,https://www.imdb.com/video/vi3936093721/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi3936093721/1434659607842-pgv4ql-1564469434372.mp4?Expires=1682016086&Signature=GvvMAOkcvHEPAz~MhbJ4O4Y5DF83PmMzWjYBCBqUXqw9LxIHgsZZI1d4LcZDgGSOQh5~C9d~gISWXx1kxnUzuxzCm91jteJjpqtrd1reGEpq9WLMcMXEphIGCEzQm1SPFeD6YglePyTPSQx7duvCAukcus8uMEm0p0sVovfOvkqyvuatLPiPXzEb95E6DOXXwgemLddz3CWv02KDnrx-WD2spI7gENfJN-cFF12Vhk6l9-ZgoGqE2VSCYIglvgFBeqRhvGfb1lXI8QPRIxfPAviphilsdCh9Phj8VLgGkFiFE0hIVtYTR0PBh97YNMwOtR2PXJmW023vaoUvmDPydg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1967
"Christopher Plummer,Eleanor Parker,Julie Andrews",United States,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family","English,German","https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR4,0,190,281_.jpg",Rodgers and Hammerstein's the Sound of Music,G,8.1,172,The Sound of Music,https://www.imdb.com/video/vi1567600153/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi1567600153/1434659607842-pgv4ql-1563942586298.mp4?Expires=1682016086&Signature=uCTg~Olu6rgW4RtCuoCLTrryJGhvDeG29ymtrFgGmwBdgplo~qAmSkSdIgPQNPTBu~faqZUrb60R14RfV93sARiS-J6uJnvxx-NpYGUhuL-Y6DI6lsu1wfX5~d8nGs-kY-clDBJyF50YTfzdbupcswAe9Uqb7ZrDjXJLQV4DVHKeF4T4qVcScm76oED~zQAxdhb7sg7DA3XU1mJKzdZAyWb4GAvoI58R0jMK7i0DCuCBbmgust2FABzyMDPernvw5b32oOBHIKQzk-UF1PfgZcuRvGnn81Ck6RddNGsuZJsGjU59S7mP0Zexl9yXZvz8b5j96JUKxIxps42i8fa2LA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1965
"Michael Palin,John Cleese,Graham Chapman",United Kingdom,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,"English,Latin","https://m.media-amazon.com/images/M/MV5BMDA1ZWI4ZDItOTRlYi00OTUxLWFlNWQtMzM5NDI0YjA4ZGI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",Monty Python's Life of Brian,R,8.0,94,Life of Brian,https://www.imdb.com/video/vi3075522329/?ref_=tt_vi_i_1,https://imdb-video.media-imdb.com/vi3075522329/1434659607842-pgv4ql-1580303238998.mp4?Expires=1682016081&Signature=dnRoXc1MFhyPveD8a3VD49KDy5qi9CVrooszYxiM3CZdRQCXwYfK5Gp9AOrz56CZwqx8dD0bfokm1Ot~5R363HDgUk1mhtFldF40JF4w4lmgyDyWVwI3qeqYlqFBxQq7KnQbPyv1bKmJ4PrNpDlbKdPyiKJWln5JZAebNGJZjqfyJnmO~xWAITZFwUkLPp2t-HGLTgjQJwUqRUVu3enS~MhYHqsMNuvYtkrvprroilA-rSeddUxFHbtLADh8wVJ8NC3gDV4SrAs40qfLgetTKRx-x4p~F07fxJvEE~pQHG5-2g07sxAsW7a1yd-7691w58jsGMfwWhelT9euo4~wyQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,1979
